region,date,positivity_rate,test_count
TX,2025-06-27,0.2547945205479452,365
TX,2025-06-28,0.24664879356568364,373
TX,2025-06-29,0.2506811989100817,367
TX,2025-06-30,0.26216216216216215,370
TX,2025-07-01,0.28690807799442897,359
TX,2025-07-02,0.29411764705882354,357
TX,2025-07-03,0.31142857142857144,350
TX,2025-07-04,0.3054662379421222,311
TX,2025-07-05,0.31699346405228757,306
VA,2021-05-07,0.0894768133174792,3364
VA,2021-05-08,0.060240963855421686,996
VA,2021-05-09,0.0581039755351682,981
VA,2021-05-10,0.058305830583058306,909
VA,2021-05-11,0.060090702947845805,882
VA,2021-05-12,0.06683168316831684,808
VA,2021-05-13,0.064,750
VA,2021-05-14,0.05065123010130246,691
VA,2021-05-15,0.049079754601226995,652
VA,2021-05-16,0.03976608187134503,855
VA,2021-05-17,0.03700588730025231,1189
VA,2021-05-18,0.037037037037037035,1485
VA,2021-05-19,0.037640449438202245,1780
VA,2021-05-20,0.03616200578592092,2074
VA,2021-05-21,0.0352536543422184,2326
VA,2021-05-22,0.03360687768659633,2559
VA,2021-05-23,0.0328192961644919,2529
VA,2021-05-24,0.028204064703442555,2411
VA,2021-05-25,0.025097360450021637,2311
VA,2021-05-26,0.022526501766784453,2264
VA,2021-05-27,0.023266219239373602,2235
VA,2021-05-28,0.025457793657882984,2239
VA,2021-05-29,0.023402340234023402,2222
VA,2021-05-30,0.023368606701940034,2268
VA,2021-05-31,0.02631578947368421,1976
VA,2021-06-01,0.05641136906053374,4609
VA,2021-06-02,0.056798986486486486,4736
VA,2021-06-03,0.05620273860617208,4893
VA,2021-06-04,0.05508053290912706,5029
VA,2021-06-05,0.053896859247770455,5158
VA,2021-06-06,0.05389908256880734,5232
VA,2021-06-07,0.05202002145155524,5594
VA,2021-06-08,0.027243589743589744,3120
VA,2021-06-09,0.024291497975708502,3211
VA,2021-06-10,0.019761606022584692,3188
VA,2021-06-11,0.015494267121165169,3227
VA,2021-06-12,0.014883720930232559,3225
VA,2021-06-13,0.01336649051911719,3217
VA,2021-06-14,0.011036174126302882,3262
VA,2021-06-15,0.010265700483091788,3312
VA,2021-06-16,0.007656967840735069,3265
VA,2021-06-17,0.008234217749313814,3279
VA,2021-06-18,0.009873495834618945,3241
VA,2021-06-19,0.01018832973139858,3239
VA,2021-06-20,0.009947155735156978,3217
VA,2021-06-21,0.010726325467361323,3263
VA,2021-06-22,0.009681449094316053,3202
VA,2021-06-23,0.011324315822585718,3179
VA,2021-06-24,0.011964735516372796,3176
VA,2021-06-25,0.011598746081504702,3190
VA,2021-06-26,0.011083743842364532,3248
VA,2021-06-27,0.010687022900763359,3275
VA,2021-06-28,0.011229135053110774,3295
VA,2021-06-29,0.01119177253478524,3306
VA,2021-06-30,0.011466505733252867,3314
VA,2021-07-01,0.04839820874956941,5806
VA,2021-07-02,0.0489047376464595,5889
VA,2021-07-03,0.05066757959602876,5842
VA,2021-07-04,0.05428467683369644,5508
VA,2021-07-05,0.05393180236604036,5748
VA,2021-07-06,0.05637212519453571,5783
VA,2021-07-07,0.05837519487268318,5773
VA,2021-07-08,0.031230674087816945,3234
VA,2021-07-09,0.032724984266834484,3178
VA,2021-07-10,0.03382259093809828,3134
VA,2021-07-11,0.03142115883539925,3469
VA,2021-07-12,0.03388746803069054,3128
VA,2021-07-13,0.03430251551780464,3061
VA,2021-07-14,0.03248492967180174,2986
VA,2021-07-15,0.032690421706440015,3059
VA,2021-07-16,0.03463203463203463,3003
VA,2021-07-17,0.0387243735763098,3073
VA,2021-07-18,0.04673776662484316,3188
VA,2021-07-19,0.047851264858274914,3281
VA,2021-07-20,0.051341217190654743,3467
VA,2021-07-21,0.0533008658008658,3696
VA,2021-07-22,0.05972078593588418,3868
VA,2021-07-23,0.061299852289512555,4062
VA,2021-07-24,0.06039160179287568,4239
VA,2021-07-25,0.06164858000461787,4331
VA,2021-07-26,0.06657700067249496,4461
VA,2021-07-27,0.06860215053763441,4650
VA,2021-07-28,0.07253886010362694,4825
VA,2021-07-29,0.07379784102060843,5095
VA,2021-07-30,0.07795348837209302,5375
VA,2021-07-31,0.08305235137533275,5635
VA,2021-08-01,0.0904313821336918,8183
VA,2021-08-02,0.09164137286948401,8566
VA,2021-08-03,0.09684684684684684,8880
VA,2021-08-04,0.09836608522852727,9058
VA,2021-08-05,0.10109622411693057,9031
VA,2021-08-06,0.10030360958056898,8893
VA,2021-08-07,0.09877823881973259,8676
VA,2021-08-08,0.09692132269099202,6139
VA,2021-08-09,0.09616677874915938,5948
VA,2021-08-10,0.09334298118668596,5528
VA,2021-08-11,0.09085714285714286,5250
VA,2021-08-12,0.08519637462235649,4965
VA,2021-08-13,0.08532494758909853,4770
VA,2021-08-14,0.0880999342537804,4563
VA,2021-08-15,0.08648403894045732,4417
VA,2021-08-16,0.08513189448441247,4170
VA,2021-08-17,0.08098933074684772,4124
VA,2021-08-18,0.08767190569744597,4072
VA,2021-08-19,0.09329446064139942,4116
VA,2021-08-20,0.09968921826440354,4183
VA,2021-08-21,0.09803921568627451,4182
VA,2021-08-22,0.0975371860521824,4101
VA,2021-08-23,0.10325422069977978,4087
VA,2021-08-24,0.10909555442003066,3914
VA,2021-08-25,0.10620652755484217,3738
VA,2021-08-26,0.10696095076400679,3534
VA,2021-08-27,0.10694072088173964,3357
VA,2021-08-28,0.1111111111111111,3240
VA,2021-08-29,0.11261829652996845,3170
VA,2021-08-30,0.11269472986410341,3017
VA,2021-08-31,0.11295911295911296,2886
VA,2021-09-01,0.11156462585034013,5145
VA,2021-09-02,0.11411992263056092,5170
VA,2021-09-03,0.11233565351894818,5172
VA,2021-09-04,0.11368227731864096,5445
VA,2021-09-05,0.11756448499736796,5699
VA,2021-09-06,0.11550603528319406,5385
VA,2021-09-07,0.11830937121080894,5773
VA,2021-09-08,0.12756443976854287,3802
VA,2021-09-09,0.12624750499001997,4008
VA,2021-09-10,0.13501199040767387,4170
VA,2021-09-11,0.1364513018322083,4148
VA,2021-09-12,0.13443963443963444,4158
VA,2021-09-13,0.13212170716765367,4897
VA,2021-09-14,0.12801595214356928,5015
VA,2021-09-15,0.1294305057745918,5022
VA,2021-09-16,0.12832550860719874,5112
VA,2021-09-17,0.1232535885167464,5225
VA,2021-09-18,0.12,5200
VA,2021-09-19,0.12124114154376556,5221
VA,2021-09-20,0.12569351444423188,5227
VA,2021-09-21,0.12502426713259562,5151
VA,2021-09-22,0.11925009663703132,5174
VA,2021-09-23,0.1195715676728335,5135
VA,2021-09-24,0.11831315892229598,5122
VA,2021-09-25,0.11809338521400778,5140
VA,2021-09-26,0.11327817178881008,5076
VA,2021-09-27,0.11224489795918367,5096
VA,2021-09-28,0.10923554520760574,5154
VA,2021-09-29,0.11060903732809431,5090
VA,2021-09-30,0.10841232227488151,5064
VA,2021-10-01,0.10943025540275049,5090
VA,2021-10-02,0.11198738170347003,5072
VA,2021-10-03,0.11565028616538385,5067
VA,2021-10-04,0.11519265322419645,5009
VA,2021-10-05,0.11844778545306786,4922
VA,2021-10-06,0.11917416189697465,4892
VA,2021-10-07,0.11850353892821032,4945
VA,2021-10-08,0.11359026369168357,4930
VA,2021-10-09,0.10922131147540984,4880
VA,2021-10-10,0.1069078947368421,4864
VA,2021-10-11,0.10362694300518134,4825
VA,2021-10-12,0.10034602076124567,4624
VA,2021-10-13,0.100418410041841,4541
VA,2021-10-14,0.09640449438202248,4450
VA,2021-10-15,0.09868572746137884,4337
VA,2021-10-16,0.09761793554413825,4282
VA,2021-10-17,0.09208972845336481,4235
VA,2021-10-18,0.08560311284046693,4112
VA,2021-10-19,0.08311377245508982,4175
VA,2021-10-20,0.08131446390021588,4169
VA,2021-10-21,0.08021261174196666,4139
VA,2021-10-22,0.07358351729212656,4077
VA,2021-10-23,0.07382879568310032,
VA,2021-10-24,0.07633399209486166,4048
VA,2021-10-25,0.07968324672110863,4041
VA,2021-10-26,0.07934168508965857,4071
VA,2021-10-27,0.0744732974032337,4082
VA,2021-10-28,0.07387072622909907,4007
VA,2021-10-29,0.07850421000495295,4038
VA,2021-10-30,0.07640280561122244,3992
VA,2021-10-31,0.0743718592964824,3980
VA,2021-11-01,0.07081653225806452,3968
VA,2021-11-02,0.07279205904810385,3929
VA,2021-11-03,0.07856774858320453,3882
VA,2021-11-04,0.07769488037046565,3887
VA,2021-11-05,0.07545192559601782,3817
VA,2021-11-06,0.0782312925170068,3822
VA,2021-11-07,0.08269281738669494,3773
VA,2021-11-08,0.08529650690495533,3693
VA,2021-11-09,0.08700440528634361,3632
VA,2021-11-10,0.08163265306122448,3577
VA,2021-11-11,0.08401697312588402,3535
VA,2021-11-12,0.08631875881523272,3545
VA,2021-11-13,0.08723884810841333,3542
VA,2021-11-14,0.0843644544431946,3556
VA,2021-11-15,0.08435754189944134,3580
VA,2021-11-16,0.083986562150056,3572
VA,2021-11-17,0.08404255319148936,3760
VA,2021-11-18,0.08667004561581348,3946
VA,2021-11-19,0.08608632746563781,4147
VA,2021-11-20,0.08536025699862322,4358
VA,2021-11-21,0.08764144663856224,4507
VA,2021-11-22,0.08400914951133291,4809
VA,2021-11-23,0.0796390741467242,5098
VA,2021-11-24,0.08080614203454894,5210
VA,2021-11-25,0.079721536043117,4453
VA,2021-11-26,0.08029197080291971,4521
VA,2021-11-27,0.0822310405643739,4536
VA,2021-11-28,0.08254665203073545,4555
VA,2021-11-29,0.09153674832962139,4490
VA,2021-11-30,0.10532102022867194,4548
VA,2021-12-01,0.11259291648447749,4574
VA,2021-12-02,0.11219422475629943,5437
VA,2021-12-03,0.11776556776556776,5460
VA,2021-12-04,0.11861280206603948,5421
VA,2021-12-05,0.118472042812327,5419
VA,2021-12-06,0.11751824817518249,5480
VA,2021-12-07,0.11477841646578898,5393
VA,2021-12-08,0.11521252796420582,5364
VA,2021-12-09,0.11551465063861759,5324
VA,2021-12-10,0.11266013564431047,5308
VA,2021-12-11,0.11311627906976744,5375
VA,2021-12-12,0.11350949013770004,5374
VA,2021-12-13,0.11567445365486059,5308
VA,2021-12-14,0.11527001862197393,5370
VA,2021-12-15,0.11148148148148149,5400
VA,2021-12-16,0.11164157179581344,5446
VA,2021-12-17,0.11224304165908677,5497
VA,2021-12-18,0.1115101454480158,5569
VA,2021-12-19,0.1148829730212614,5597
VA,2021-12-20,0.11537787129580922,5703
VA,2021-12-21,0.11884057971014493,5865
